Year,Round,BS,WS,BS_vs_WS,Seed_Diff,BS_Rev,BS_RankWins,BS_RankGames,BS_RankWinPct,WS_RankWins,WS_RankGames,WS_RankWinPct,BS_ScoMar,WS_ScoMar,ScoMar_Diff,BS_ATRatio,WS_ATRatio,ATRatio_Diff,BS_OppATRatio,WS_OppATRatio,OppATRatio_Diff,BS_ATRatioDiff_Ovr,WS_ATRatioDiff_Ovr,ATRatio_Diff_Ovr,BS_OffEff,WS_OffEff,OffEff_Diff,BS_DefEff,WS_DefEff,DefEff_Diff,BS_EffDiff_Ovr,WS_EffDiff_Ovr,EffDiff_Ovr
2015,1,Kentucky,Hampton,0,15,24684543,6,6,1.000,0,1,0.000,20.1,-1.2,21.3,1.359,0.752,0.607,0.564,0.74,-0.176,0.795,0.012,0.783,1.124,0.934,0.19,0.821,0.95,-0.129,0.303,-0.016,0.319
2015,1,Cincinnati,Purdue,0,1,7594044,2,2,1.000,3,7,0.429,6.3,5.3,1,0.912,1.137,-0.225,0.929,0.97,-0.041,-0.017,0.167,-0.184,1.001,1.031,-0.03,0.9,0.953,-0.053,0.101,0.078,0.023
2015,1,West Virginia,Buffalo,0,7,6416996,4,12,0.333,0,2,0.000,5.8,6.3,-0.5,1.091,1.146,-0.055,0.6,0.875,-0.275,0.491,0.271,0.22,1.025,1.056,-0.031,0.943,0.966,-0.023,0.082,0.09,-0.008
2015,1,Maryland,Valparaiso,0,9,16720500,2,4,0.500,0,0,0.000,5.7,8.3,-2.6,0.872,1.03,-0.158,0.987,0.959,0.028,-0.115,0.071,-0.186,1.037,1.044,-0.007,0.951,0.917,0.034,0.086,0.127,-0.041
2015,1,Butler,Texas,0,5,4518512,5,7,0.714,3,12,0.250,8,7.1,0.9,1.029,1.014,0.015,0.861,1.172,-0.311,0.168,-0.158,0.326,1.028,1.025,0.003,0.909,0.917,-0.008,0.119,0.108,0.011
2015,1,Notre Dame,Northeastern,0,11,3533991,6,8,0.750,0,0,0.000,12.2,3.4,8.8,1.618,1.035,0.583,1.099,1.256,-0.157,0.519,-0.221,0.74,1.179,1.046,0.133,0.994,0.995,-0.001,0.185,0.051,0.134
2015,1,Wichita State,Indiana,0,3,6847403,1,3,0.333,4,8,0.500,11.9,5.7,6.2,1.437,1.199,0.238,0.677,1.176,-0.499,0.76,0.023,0.737,1.083,1.124,-0.041,0.898,1.041,-0.143,0.185,0.083,0.102
2015,1,Kansas,New Mexico State,0,13,19141222,10,15,0.667,0,2,0.000,6.3,1.8,4.5,1.024,0.846,0.178,0.955,0.856,0.099,0.069,-0.01,0.079,1.039,1.047,-0.008,0.947,0.933,0.014,0.092,0.114,-0.022
2015,1,Wisconsin,Coastal Carolina,0,15,21309114,2,4,0.500,0,0,0.000,14.8,5.2,9.6,1.687,0.985,0.702,0.941,1.076,-0.135,0.746,-0.091,0.837,1.191,1.064,0.127,0.948,0.986,-0.038,0.243,0.078,0.165
2015,1,Oregon,Oklahoma State,0,1,8307937,2,7,0.286,5,14,0.357,3.8,3.3,0.5,1.195,0.941,0.254,1.043,0.822,0.221,0.152,0.119,0.033,1.064,1.006,0.058,1.01,0.956,0.054,0.054,0.05,0.004
2015,1,Arkansas,Wofford,0,7,16314973,0,3,0.000,0,2,0.000,7.3,5.5,1.8,1.347,1.213,0.134,0.79,0.727,0.063,0.557,0.486,0.071,1.07,1.034,0.036,0.97,0.946,0.024,0.1,0.088,0.012
